reporter_iso3,partner_iso3,trade_flow,year,hs_norm,pair_trade_value_hs_usd
CHN,ARE,export,2023,8030,3804.0
CHN,ARG,export,2023,8030,8572.0
CHN,AUS,export,2023,8030,4179.0
CHN,AUT,export,2023,8030,274.0
CHN,BHR,export,2023,8030,1438.0
CHN,BHS,export,2023,8030,2105.0
CHN,CAN,export,2023,8030,47225.0
CHN,CHE,export,2023,8030,574.0
CHN,CZE,export,2023,8030,149642.0
CHN,DEU,export,2023,8030,326894.0
CHN,DNK,export,2023,8030,407.0
CHN,ESP,export,2023,8030,324.0
CHN,EST,export,2023,8030,194.0
CHN,FIN,export,2023,8030,108.0
CHN,GBR,export,2023,8030,26919.0
CHN,GHA,export,2023,8030,2.0
CHN,GTM,export,2023,8030,48.0
CHN,HKG,export,2023,8030,2661601.0
CHN,HRV,export,2023,8030,6061.0
CHN,ISR,export,2023,8030,11862.0
CHN,JPN,export,2023,8030,55962.0
CHN,KAZ,export,2023,8030,1661.0
CHN,KGZ,export,2023,8030,81086.0
CHN,KOR,export,2023,8030,13.0
CHN,LUX,export,2023,8030,143.0
